iter,loss,loss_lb,loss_ulb,loss_consist,loss_conflict,cons_w,high_r,conflict_r,lr,n_consist,n_conflict,n_from_student
1,46.52610778808594,46.40865707397461,34.86193084716797,34.86193084716797,0.0,0.0033689734995427335,0.5,0.0,0.01,16,0,0
2,54.73099899291992,54.45783996582031,81.0809326171875,81.0809326171875,0.0,0.0033689734995427335,0.5,0.0,0.009999699999499994,4,0,1
3,61.963157653808594,61.823246002197266,41.52951431274414,32.910179138183594,8.619333267211914,0.0033689734995427335,0.75,0.2075471729040146,0.009999399997999951,42,11,3
4,46.78999328613281,46.658546447753906,39.01704788208008,9.98110580444336,29.03594207763672,0.0033689734995427335,0.75,0.7441860437393188,0.009999099995499834,11,32,1
5,31.232685089111328,31.135047912597656,28.981351852416992,3.0950958728790283,25.886255264282227,0.0033689734995427335,0.75,0.893203854560852,0.009998799991999608,11,92,0
6,31.43196678161621,31.324684143066406,31.844104766845703,4.574291229248047,27.269813537597656,0.0033689734995427335,1.0,0.8563535809516907,0.009998499987499236,26,155,1
7,38.68500900268555,38.49443817138672,56.566856384277344,6.946806907653809,49.62004852294922,0.0033689734995427335,0.75,0.8771929740905762,0.00999819998199868,7,50,0
8,32.98577117919922,32.85065460205078,40.10600280761719,5.729429244995117,34.3765754699707,0.0033689734995427335,0.75,0.8571428656578064,0.009997899975497904,17,102,1
9,28.681304931640625,28.58076286315918,29.843711853027344,2.911581516265869,26.93212890625,0.0033689734995427335,0.5,0.9024389982223511,0.009997599967996871,4,37,1
10,26.75533103942871,26.644977569580078,32.755584716796875,0.0,32.755584716796875,0.0033689734995427335,0.0,1.0,0.009997299959495545,0,6,0
11,31.434480667114258,31.3594913482666,22.25869369506836,0.0,22.25869369506836,0.0033689734995427335,0.0,1.0,0.009996999949993889,0,14,0
12,28.486488342285156,28.358747482299805,37.916778564453125,0.0,37.916778564453125,0.0033689734995427335,0.0,1.0,0.009996699939491866,0,32,0
13,31.750988006591797,31.649333953857422,30.173492431640625,0.0,30.173492431640625,0.0033689734995427335,0.0,1.0,0.009996399927989438,0,18,0
14,31.161449432373047,31.057266235351562,30.924480438232422,0.0,30.924480438232422,0.0033689734995427335,0.0,1.0,0.009996099915486572,0,29,0
