iter,loss,loss_lb,loss_ulb,loss_consist,loss_conflict,cons_w,high_r,conflict_r,lr,n_consist,n_conflict,n_from_student
1,47.553749084472656,47.41545104980469,41.05000305175781,41.05000305175781,0.0,0.0033689734995427335,0.5,0.0,0.01,12,0,0
2,57.06060028076172,56.94044494628906,35.66487121582031,26.748653411865234,8.916217803955078,0.0033689734995427335,0.5,0.25,0.009999699999499994,3,1,0
3,43.19530487060547,43.055091857910156,41.619361877441406,28.47640609741211,13.142955780029297,0.0033689734995427335,0.75,0.31578946113586426,0.009999399997999951,26,12,1
4,45.9333381652832,45.80210494995117,38.953269958496094,32.461055755615234,6.492211818695068,0.0033689734995427335,0.75,0.1666666716337204,0.009999099995499834,10,2,0
5,38.27330017089844,38.18171310424805,27.185422897338867,15.534527778625488,11.650896072387695,0.0033689734995427335,0.5,0.4285714328289032,0.009998799991999608,4,3,0
6,28.145435333251953,28.02398681640625,36.04883575439453,14.419534683227539,21.629302978515625,0.0033689734995427335,0.5,0.6000000238418579,0.009998499987499236,16,24,0
7,46.342491149902344,46.10947799682617,69.16421508789062,25.919551849365234,62.94748306274414,0.0033689734995427335,0.75,0.7083333134651184,0.00999819998199868,7,17,0
8,29.841915130615234,29.69186782836914,44.537803649902344,13.803918838500977,81.67318725585938,0.0033689734995427335,0.5,0.8554216623306274,0.009997899975497904,12,71,1
9,29.49611473083496,29.40034294128418,28.427539825439453,5.893514156341553,22.534025192260742,0.0033689734995427335,1.0,0.792682945728302,0.009997599967996871,17,65,1
10,26.227182388305664,26.101675033569336,37.25383377075195,8.765607833862305,28.48822593688965,0.0033689734995427335,0.5,0.7647058963775635,0.009997299959495545,4,13,0
11,32.61794662475586,32.53141784667969,25.683837890625,1.11668860912323,24.567150115966797,0.0033689734995427335,0.25,0.95652174949646,0.009996999949993889,1,22,0
12,31.574390411376953,31.455394744873047,35.32087326049805,0.0,35.32087326049805,0.0033689734995427335,0.0,1.0,0.009996699939491866,0,29,0
13,33.42980194091797,33.3255615234375,30.94074249267578,0.0,30.94074249267578,0.0033689734995427335,0.0,1.0,0.009996399927989438,0,17,0
14,31.78767204284668,31.68041229248047,31.837373733520508,0.0,31.837373733520508,0.0033689734995427335,0.0,1.0,0.009996099915486572,0,34,0
15,29.11721420288086,29.004240036010742,33.53364562988281,0.0,33.53364562988281,0.0033689734995427335,0.0,1.0,0.009995799901983227,0,14,0
16,33.495849609375,33.403236389160156,27.490406036376953,0.0,27.490406036376953,0.0033689734995427335,0.0,1.0,0.009995499887479371,0,36,0
17,30.578929901123047,30.4251766204834,45.63776397705078,0.0,47.92354965209961,0.0033689734995427335,0.0,1.0,0.00999519987197496,0,27,0
18,27.555824279785156,27.42534065246582,38.73073196411133,0.0,38.73073196411133,0.0033689734995427335,0.0,1.0,0.009994899855469967,0,11,0
19,28.388944625854492,28.246204376220703,42.36930847167969,0.0,44.3105583190918,0.0033689734995427335,0.0,1.0,0.009994599837964349,0,12,0
20,30.099157333374023,29.947816848754883,44.92172622680664,0.0,121.36904907226562,0.0033689734995427335,0.0,1.0,0.00999429981945807,0,11,0
21,25.48280143737793,25.37207794189453,32.86563491821289,0.0,32.86563491821289,0.0033689734995427335,0.0,1.0,0.009993999799951093,0,10,0
22,25.23052978515625,25.113176345825195,34.833744049072266,0.0,34.833744049072266,0.0033689734995427335,0.0,1.0,0.009993699779443383,0,18,0
23,44.159263610839844,43.989463806152344,50.40098571777344,0.0,50.40098571777344,0.0033689734995427335,0.0,1.0,0.009993399757934904,0,11,0
24,28.547996520996094,28.421194076538086,37.63833236694336,0.0,37.63833236694336,0.0033689734995427335,0.0,1.0,0.009993099735425616,0,28,0
25,27.572952270507812,27.434314727783203,41.15147399902344,42.50404357910156,0.0,0.0033689734995427335,0.75,0.0,0.009992799711915485,14,0,0
26,32.34724807739258,32.34724807739258,0.0,0.0,0.0,0.0033689734995427335,0.0,0.0,0.009992499687404472,0,0,0
27,30.822500228881836,30.822500228881836,0.0,0.0,0.0,0.0033689734995427335,0.0,0.0,0.009992199661892543,0,0,0
28,26.272729873657227,26.272729873657227,0.0,0.0,0.0,0.0033689734995427335,0.0,0.0,0.009991899635379659,0,0,0
29,28.295528411865234,28.295528411865234,0.0,0.0,0.0,0.0033689734995427335,0.0,0.0,0.009991599607865784,0,0,0
30,27.00308609008789,27.00308609008789,0.0,0.0,0.0,0.0033689734995427335,0.0,0.0,0.00999129957935088,0,0,0
31,27.422725677490234,27.422725677490234,0.0,0.0,0.0,0.0033689734995427335,0.0,0.0,0.009990999549834914,0,0,0
32,28.71563720703125,28.71563720703125,0.0,0.0,0.0,0.0033689734995427335,0.0,0.0,0.009990699519317844,0,0,0
33,24.80306625366211,24.80306625366211,0.0,0.0,0.0,0.0033689734995427335,0.0,0.0,0.00999039948779964,0,0,0
34,29.72426986694336,29.72426986694336,0.0,0.0,0.0,0.0033689734995427335,0.0,0.0,0.009990099455280258,0,0,0
35,27.303483963012695,27.303483963012695,0.0,0.0,0.0,0.0033689734995427335,0.0,0.0,0.009989799421759666,0,0,0
36,24.218685150146484,24.218685150146484,0.0,0.0,0.0,0.0033689734995427335,0.0,0.25,0.009989499387237826,0,0,0
