iter,loss,loss_lb,loss_ulb,loss_consist,loss_conflict,cons_w,high_r,conflict_r,lr,n_consist,n_conflict,n_from_student
1,47.54362106323242,47.40180969238281,42.09284210205078,42.09284210205078,0.0,0.0033689734995427335,0.75,0.0,0.01,20,0,0
2,57.06283950805664,56.92960739135742,39.54692840576172,32.3565788269043,7.1903510093688965,0.0033689734995427335,0.5,0.1818181872367859,0.009999699999499994,9,2,0
3,43.15571975708008,43.017730712890625,40.958614349365234,25.59913444519043,15.359479904174805,0.0033689734995427335,0.75,0.375,0.009999399997999951,35,21,1
4,45.907257080078125,45.77753448486328,38.504634857177734,26.183151245117188,12.32148265838623,0.0033689734995427335,1.0,0.3199999928474426,0.009999099995499834,17,8,0
5,38.33413314819336,38.225833892822266,32.14604568481445,13.776876449584961,18.369169235229492,0.0033689734995427335,0.5,0.5714285969734192,0.009998799991999608,6,8,0
6,28.120710372924805,28.00213623046875,35.196083068847656,11.52975082397461,23.666330337524414,0.0033689734995427335,0.5,0.6724137663841248,0.009998499987499236,19,39,1
7,46.428619384765625,46.19517517089844,69.29276275634766,15.162224769592285,54.15080261230469,0.0033689734995427335,0.75,0.78125,0.00999819998199868,7,25,0
8,29.906330108642578,29.75596046447754,44.633941650390625,11.856474876403809,71.87987518310547,0.0033689734995427335,0.75,0.8584070801734924,0.009997899975497904,16,97,1
9,29.536794662475586,29.440528869628906,28.573997497558594,5.607981204986572,22.96601676940918,0.0033689734995427335,1.0,0.8037382960319519,0.009997599967996871,21,86,3
10,26.2017765045166,26.092830657958984,32.338172912597656,5.87966775894165,26.458505630493164,0.0033689734995427335,0.5,0.8181818127632141,0.009997299959495545,6,27,0
11,32.93095016479492,32.851531982421875,23.573339462280273,2.2812907695770264,21.29204750061035,0.0033689734995427335,0.5,0.9032257795333862,0.009996999949993889,3,28,0
12,32.02366638183594,31.90779685974121,34.39342498779297,0.7317749857902527,33.661651611328125,0.0033689734995427335,0.25,0.978723406791687,0.009996699939491866,1,46,0
13,33.46757888793945,33.362491607666016,31.193111419677734,0.0,31.193111419677734,0.0033689734995427335,0.0,1.0,0.009996399927989438,0,25,0
14,32.56678009033203,32.451805114746094,34.12746810913086,0.0,34.12746810913086,0.0033689734995427335,0.0,1.0,0.009996099915486572,0,54,0
15,29.40035629272461,29.282949447631836,34.849388122558594,0.0,34.849388122558594,0.0033689734995427335,0.0,1.0,0.009995799901983227,0,16,0
16,33.66447830200195,33.56836700439453,28.527973175048828,0.0,28.527973175048828,0.0033689734995427335,0.0,1.0,0.009995499887479371,0,54,0
17,30.102252960205078,29.956912994384766,43.140647888183594,0.0,43.140647888183594,0.0033689734995427335,0.0,1.0,0.00999519987197496,0,39,0
18,28.08148956298828,27.959041595458984,36.34606170654297,0.0,36.34606170654297,0.0033689734995427335,0.0,1.0,0.009994899855469967,0,19,0
19,28.41073989868164,28.271032333374023,41.4689826965332,0.0,41.4689826965332,0.0033689734995427335,0.0,1.0,0.009994599837964349,0,15,0
20,30.42270851135254,30.26974105834961,45.40461349487305,0.0,88.85018157958984,0.0033689734995427335,0.0,1.0,0.00999429981945807,0,16,0
