iter,loss,loss_lb,loss_ulb,loss_consist,loss_conflict,cons_w,high_r,conflict_r,lr,n_consist,n_conflict,n_from_student
1,44.78049087524414,44.65993118286133,35.78568649291992,35.78568649291992,0.0,0.0033689734995427335,0.75,0.0,0.01,18,0,0
2,54.094993591308594,53.90616989135742,56.04756164550781,56.04756164550781,0.0,0.0033689734995427335,0.5,0.0,0.009999699999499994,14,0,0
3,59.88728332519531,59.76202392578125,37.18060302734375,33.3780403137207,3.8025617599487305,0.0033689734995427335,1.0,0.10227272659540176,0.009999399997999951,79,9,2
4,46.9157829284668,46.76707458496094,44.140586853027344,19.240768432617188,24.899818420410156,0.0033689734995427335,0.75,0.5641025900840759,0.009999099995499834,17,22,0
5,39.25580978393555,39.15037536621094,31.295297622680664,23.471473693847656,7.823824405670166,0.0033689734995427335,0.5,0.25,0.009998799991999608,18,6,1
6,27.212024688720703,27.0752010345459,40.61280059814453,4.583338260650635,44.2529182434082,0.0033689734995427335,0.5,0.9061488509178162,0.009998499987499236,29,280,0
7,42.49791717529297,42.30094528198242,58.466468811035156,6.02747106552124,52.43899917602539,0.0033689734995427335,0.75,0.8969072103500366,0.00999819998199868,10,87,0
8,32.20771789550781,32.0457763671875,48.06866455078125,3.4434447288513184,56.81684112548828,0.0033689734995427335,0.5,0.9428571462631226,0.009997899975497904,28,462,2
9,28.788700103759766,28.664569854736328,36.84522247314453,4.551468849182129,32.29375457763672,0.0033689734995427335,0.75,0.8764705657958984,0.009997599967996871,21,149,1
10,28.611186981201172,28.46788787841797,42.53501892089844,12.760506629943848,29.774513244628906,0.0033689734995427335,0.25,0.699999988079071,0.009997299959495545,3,7,0
11,32.56102752685547,32.484039306640625,22.85247802734375,0.0,22.85247802734375,0.0033689734995427335,0.0,1.0,0.009996999949993889,0,35,0
12,30.883495330810547,30.77497100830078,32.21292495727539,0.0,32.21292495727539,0.0033689734995427335,0.0,1.0,0.009996699939491866,0,44,0
13,33.165382385253906,33.07527542114258,26.745803833007812,0.0,26.745803833007812,0.0033689734995427335,0.0,1.0,0.009996399927989438,0,32,0
14,31.422441482543945,31.324907302856445,28.950450897216797,0.0,28.950450897216797,0.0033689734995427335,0.0,1.0,0.009996099915486572,0,56,0
15,28.327577590942383,28.229068756103516,29.2402400970459,0.0,29.2402400970459,0.0033689734995427335,0.0,1.0,0.009995799901983227,0,29,0
16,34.737056732177734,34.644325256347656,27.525222778320312,0.0,27.525222778320312,0.0033689734995427335,0.0,1.0,0.009995499887479371,0,73,0
17,35.47428894042969,35.35456466674805,35.537044525146484,0.0,35.537044525146484,0.0033689734995427335,0.0,1.0,0.00999519987197496,0,38,0
18,28.081396102905273,27.97797203063965,30.698883056640625,0.0,30.698883056640625,0.0033689734995427335,0.0,1.0,0.009994899855469967,0,34,0
19,28.885087966918945,28.739852905273438,43.109779357910156,0.0,45.19198989868164,0.0033689734995427335,0.0,1.0,0.009994599837964349,0,16,0
20,30.54138946533203,30.38782501220703,45.58174133300781,0.0,84.14192962646484,0.0033689734995427335,0.0,1.0,0.00999429981945807,0,28,0
21,26.169639587402344,26.07415771484375,28.34144401550293,0.0,28.34144401550293,0.0033689734995427335,0.0,1.0,0.009993999799951093,0,32,0
22,28.182804107666016,28.091156005859375,27.203750610351562,0.4185192286968231,26.78523063659668,0.0033689734995427335,0.25,0.9846153855323792,0.009993699779443383,1,64,0
23,50.1512565612793,49.98461151123047,49.46446228027344,0.0,49.46446228027344,0.0033689734995427335,0.0,1.0,0.009993399757934904,0,867,0
24,30.790616989135742,30.668275833129883,36.31388473510742,0.0,36.31388473510742,0.0033689734995427335,0.0,1.0,0.009993099735425616,0,80,0
25,29.053634643554688,28.940433502197266,33.60118865966797,33.60118865966797,0.0,0.0033689734995427335,1.0,0.0,0.009992799711915485,59,0,0
26,34.93425750732422,34.78543472290039,44.175079345703125,44.175079345703125,0.0,0.0033689734995427335,0.75,0.0,0.009992499687404472,29,0,0
27,32.29608154296875,32.13369369506836,48.200538635253906,59.451942443847656,0.0,0.0033689734995427335,1.0,0.0,0.009992199661892543,25,0,0
28,29.341747283935547,29.194215774536133,43.791324615478516,50.5313720703125,0.0,0.0033689734995427335,0.75,0.0,0.009991899635379659,12,0,0
29,32.004730224609375,31.843809127807617,47.76571273803711,58.17859649658203,0.0,0.0033689734995427335,0.75,0.0,0.009991599607865784,44,0,0
30,31.09020233154297,30.933879852294922,46.40081787109375,54.675140380859375,0.0,0.0033689734995427335,1.0,0.0,0.00999129957935088,28,0,0
31,30.51613998413086,30.362703323364258,45.5440559387207,61.134613037109375,0.0,0.0033689734995427335,0.5,0.0,0.009990999549834914,32,0,0
32,31.740520477294922,31.5809268951416,47.37139129638672,62.20610046386719,0.0,0.0033689734995427335,0.5,0.0,0.009990699519317844,23,0,0
33,29.74031639099121,29.59078025817871,44.38616943359375,49.14967727661133,0.0,0.0033689734995427335,0.75,0.0,0.00999039948779964,179,0,0
34,33.187007904052734,33.05562210083008,38.99905776977539,38.99905776977539,0.0,0.0033689734995427335,0.5,0.0,0.009990099455280258,35,0,0
35,31.7501163482666,31.59047508239746,47.385711669921875,52.74873733520508,0.0,0.0033689734995427335,0.5,0.0,0.009989799421759666,7,0,0
36,27.793376922607422,27.676809310913086,34.600189208984375,34.600189208984375,0.0,0.0033689734995427335,1.0,0.0,0.009989499387237826,52,0,1
37,31.993976593017578,31.88544464111328,32.21514892578125,32.21514892578125,0.0,0.0033689734995427335,0.75,0.0,0.009989199351714701,134,0,3
38,29.333471298217773,29.23459815979004,29.347877502441406,29.347877502441406,0.0,0.0033689734995427335,1.0,0.0,0.009988899315190255,274,0,4
39,28.356510162353516,28.22210693359375,39.89464569091797,39.89464569091797,0.0,0.0033689734995427335,1.0,0.0,0.009988599277664448,70,0,0
40,28.007633209228516,27.88037109375,37.77494430541992,37.77494430541992,0.0,0.0033689734995427335,0.75,0.0,0.009988299239137247,323,0,9
41,30.559179306030273,30.457054138183594,30.31345558166504,30.31345558166504,0.0,0.0033689734995427335,1.0,0.0,0.009987999199608615,524,0,5
42,26.23965072631836,26.138952255249023,29.890159606933594,29.890159606933594,0.0,0.0033689734995427335,1.0,0.0,0.009987699159078513,394,0,2
43,26.19826889038086,26.096370697021484,30.246191024780273,30.246191024780273,0.0,0.0033689734995427335,1.0,0.0,0.009987399117546907,93,0,0
44,29.2518253326416,29.144634246826172,31.817123413085938,31.817123413085938,0.0,0.0033689734995427335,0.75,0.0,0.009987099075013758,157,0,0
45,30.98526382446289,30.85797119140625,37.783546447753906,37.783546447753906,0.0,0.0033689734995427335,1.0,0.0,0.00998679903147903,219,0,3
